"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.503056231E0,4.880000055E-1,-7.469999790E-1,9.883000374E0,9.923197537E0
2.513054461E0,5.360000134E-1,-6.600000262E-1,9.796999931E0,9.833824470E0
2.523063923E0,4.589999914E-1,-7.659999728E-1,9.796999931E0,9.837613766E0
2.533050923E0,4.690000117E-1,-7.749999762E-1,9.826000214E0,9.867667717E0
2.543051385E0,4.589999914E-1,-7.080000043E-1,9.739000320E0,9.775483223E0
2.553058231E0,4.880000055E-1,-7.469999790E-1,9.854000092E0,9.894315074E0
2.563055538E0,5.260000229E-1,-7.559999824E-1,9.767999649E0,9.811321478E0
2.573056692E0,5.360000134E-1,-7.659999728E-1,9.786999702E0,9.831552021E0
2.583053846E0,4.589999914E-1,-6.990000010E-1,9.940999985E0,9.976109597E0
2.593587461E0,4.880000055E-1,-7.179999948E-1,9.864000320E0,9.902129585E0
2.603049154E0,4.690000117E-1,-7.469999790E-1,9.807000160E0,9.846584287E0
2.613081077E0,4.979999959E-1,-6.890000105E-1,9.864000320E0,9.900567021E0
2.623527769E0,4.779999852E-1,-7.559999824E-1,9.826000214E0,9.866625571E0
2.633049077E0,5.550000072E-1,-6.790000200E-1,9.767999649E0,9.807287249E0
2.643062615E0,4.779999852E-1,-7.469999790E-1,9.796999931E0,9.837057518E0
2.653050846E0,5.070000291E-1,-7.659999728E-1,9.920999527E0,9.963434980E0
2.663052769E0,4.779999852E-1,-6.990000010E-1,9.854000092E0,9.890318640E0
2.673047000E0,4.779999852E-1,-6.990000010E-1,9.854000092E0,9.890318640E0
2.683050538E0,5.070000291E-1,-7.559999824E-1,9.864000320E0,9.905911736E0
2.693082769E0,4.880000055E-1,-7.659999728E-1,9.767999649E0,9.810133389E0
2.703050846E0,4.880000055E-1,-6.600000262E-1,9.796999931E0,9.831325022E0
2.713076154E0,4.300000072E-1,-8.040000200E-1,9.758999825E0,9.801499559E0
2.723052308E0,5.170000196E-1,-6.890000105E-1,9.826000214E0,9.863685429E0
2.733051615E0,4.499999881E-1,-7.469999790E-1,9.826000214E0,9.864623113E0
2.743700154E0,5.170000196E-1,-7.469999790E-1,9.873999596E0,9.915703001E0
2.753051385E0,5.170000196E-1,-6.600000262E-1,9.911999702E0,9.947392983E0
2.763060769E0,5.360000134E-1,-7.369999886E-1,9.826000214E0,9.868168280E0
2.773053692E0,4.690000117E-1,-8.330000043E-1,9.796999931E0,9.843528721E0
2.783064923E0,4.690000117E-1,-6.700000167E-1,9.826000214E0,9.859976736E0
2.793056385E0,5.450000167E-1,-7.179999948E-1,9.902000427E0,9.942945312E0
2.803051538E0,5.550000072E-1,-6.990000010E-1,9.835000038E0,9.875416536E0
2.813081923E0,5.260000229E-1,-7.369999886E-1,9.883000374E0,9.924391236E0
2.823053538E0,5.740000010E-1,-7.469999790E-1,9.835000038E0,9.880015725E0
2.833078923E0,4.880000055E-1,-7.179999948E-1,9.892999649E0,9.931017574E0
2.843047769E0,5.649999976E-1,-7.080000043E-1,9.930999756E0,9.972223682E0
2.853058846E0,4.779999852E-1,-7.749999762E-1,9.796999931E0,9.839223374E0
2.863049692E0,4.880000055E-1,-7.659999728E-1,9.767999649E0,9.810133389E0
2.873050385E0,4.880000055E-1,-7.559999824E-1,9.920999527E0,9.961722321E0
2.883055461E0,4.589999914E-1,-6.600000262E-1,9.854000092E0,9.886738534E0
